Data,Casa,Fora,Gols Casa,Gols Fora,Edição,Fase
2024-06-21,Argentina,Canadá,2,0,2024,Grupo A
2024-06-22,Perú,Chile,0,0,2024,Grupo A
2024-06-26,Perú,Canadá,0,1,2024,Grupo A
2024-06-26,Chile,Argentina,0,1,2024,Grupo A
2024-06-30,Argentina,Perú,2,0,2024,Grupo A
2024-06-30,Canadá,Chile,0,0,2024,Grupo A
2024-06-23,Ecuador,Venezuela,1,2,2024,Grupo B
2024-06-23,México,Jamaica,1,0,2024,Grupo B
2024-06-27,Ecuador,Jamaica,3,1,2024,Grupo B
2024-06-27,Venezuela,México,1,0,2024,Grupo B
2024-07-01,México,Ecuador,0,0,2024,Grupo B
2024-07-01,Jamaica,Venezuela,0,3,2024,Grupo B
2024-06-24,Estados Unidos,Bolivia,2,0,2024,Grupo C
2024-06-24,Uruguay,Panamá,3,1,2024,Grupo C
2024-06-28,Panamá,Estados Unidos,2,1,2024,Grupo C
2024-06-28,Uruguay,Bolivia,5,0,2024,Grupo C
2024-07-02,Estados Unidos,Uruguay,0,1,2024,Grupo C
2024-07-02,Bolivia,Panamá,1,3,2024,Grupo C
2024-06-25,Colombia,Paraguay,2,1,2024,Grupo D
2024-06-25,Brasil,Costa Rica,0,0,2024,Grupo D
2024-06-29,Colombia,Costa Rica,3,0,2024,Grupo D
2024-06-29,Paraguay,Brasil,1,4,2024,Grupo D
2024-07-03,Brasil,Colombia,1,1,2024,Grupo D
2024-07-03,Costa Rica,Paraguay,2,1,2024,Grupo D
2024-07-05,Argentina,Ecuador,5,3,2024,Cuartos de final
2024-07-06,Venezuela,Canadá,4,5,2024,Cuartos de final
2024-07-07,Colombia,Panamá,5,0,2024,Cuartos de final
2024-07-07,Uruguay,Brasil,4,2,2024,Cuartos de final
2024-07-10,Argentina,Canadá,2,0,2024,Semifinales
2024-07-11,Uruguay,Colombia,0,1,2024,Semifinales
2024-07-14,Canadá,Uruguay,5,6,2024,Tercer puesto
2024-07-15,Argentina,Colombia,1,0,2024,Final
