confederation,phase,group,position,country_code,status,pj,g,e,p,gf,gc,dg,pts,pts_per_game,win_pct,gf_per_game,gc_per_game
AFC,2da_ronda,A,1,QAT,confirmed,6,5,1,0,18,3,15,16,2.667,0.833,3.0,0.5
AFC,2da_ronda,B,1,JPN,confirmed,6,6,0,0,24,0,24,18,3.0,1.0,4.0,0.0
AFC,2da_ronda,C,1,KOR,confirmed,6,5,1,0,20,1,19,16,2.667,0.833,3.333,0.167
AFC,2da_ronda,E,1,IRN,confirmed,6,4,2,0,16,4,12,14,2.333,0.667,2.667,0.667
AFC,2da_ronda,E,2,UZB,confirmed,6,4,2,0,13,4,9,14,2.333,0.667,2.167,0.667
AFC,2da_ronda,F,1,IRQ,playoff,6,6,0,0,17,2,15,18,3.0,1.0,2.833,0.333
AFC,2da_ronda,G,1,JOR,confirmed,6,4,1,1,16,4,12,13,2.167,0.667,2.667,0.667
AFC,2da_ronda,G,2,KSA,confirmed,6,4,1,1,12,3,9,13,2.167,0.667,2.0,0.5
AFC,2da_ronda,I,1,AUS,confirmed,6,6,0,0,22,0,22,18,3.0,1.0,3.667,0.0
AFC,3ra_fase,A,1,IRN,confirmed,10,7,2,1,19,8,11,23,2.3,0.7,1.9,0.8
AFC,3ra_fase,A,2,UZB,confirmed,10,6,3,1,14,7,7,21,2.1,0.6,1.4,0.7
AFC,3ra_fase,A,4,QAT,confirmed,10,4,1,5,17,24,-7,13,1.3,0.4,1.7,2.4
AFC,3ra_fase,B,1,KOR,confirmed,10,6,4,0,20,7,13,22,2.2,0.6,2.0,0.7
AFC,3ra_fase,B,2,JOR,confirmed,10,4,4,2,16,8,8,16,1.6,0.4,1.6,0.8
AFC,3ra_fase,B,3,IRQ,playoff,10,4,3,3,9,9,0,15,1.5,0.4,0.9,0.9
AFC,3ra_fase,C,1,JPN,confirmed,10,7,2,1,30,3,27,23,2.3,0.7,3.0,0.3
AFC,3ra_fase,C,2,AUS,confirmed,10,5,4,1,16,7,9,19,1.9,0.5,1.6,0.7
AFC,3ra_fase,C,3,KSA,confirmed,10,3,4,3,7,8,-1,13,1.3,0.3,0.7,0.8
AFC,4ta_ronda,A,1,QAT,confirmed,2,1,1,0,2,1,1,4,2.0,0.5,1.0,0.5
AFC,4ta_ronda,B,1,KSA,confirmed,2,1,1,0,3,2,1,4,2.0,0.5,1.5,1.0
AFC,4ta_ronda,B,2,IRQ,playoff,2,1,1,0,1,0,1,4,2.0,0.5,0.5,0.0
