country_code,nombre_completo,confederacion,status,pj,g,e,p,pts,gf,gc,dg,gf_per_game,gc_per_game,win_pct
NOR,Norway,UEFA,confirmed,8,8,0,0,24,37,5,32,4.625,0.625,1.0
ENG,England,UEFA,confirmed,8,8,0,0,24,22,0,22,2.75,0.0,1.0
CRO,Croatia,UEFA,confirmed,8,7,1,0,22,26,4,22,3.25,0.5,0.875
NED,Netherlands,UEFA,confirmed,8,6,2,0,20,27,4,23,3.375,0.5,0.75
AUT,Austria,UEFA,confirmed,8,6,1,1,19,22,4,18,2.75,0.5,0.75
BEL,Belgium,UEFA,confirmed,8,5,3,0,18,29,7,22,3.625,0.875,0.625
ESP,Spain,UEFA,confirmed,6,5,1,0,16,21,2,19,3.5,0.333,0.833
FRA,France,UEFA,confirmed,6,5,1,0,16,16,4,12,2.667,0.667,0.833
GER,Germany,UEFA,confirmed,6,5,0,1,15,16,3,13,2.667,0.5,0.833
SUI,Switzerland,UEFA,confirmed,6,4,2,0,14,14,2,12,2.333,0.333,0.667
SCO,Scotland,UEFA,confirmed,6,4,1,1,13,13,7,6,2.167,1.167,0.667
POR,Portugal,UEFA,confirmed,6,4,1,1,13,20,7,13,3.333,1.167,0.667
ITA,Italy,UEFA,playoff,8,6,0,2,18,21,12,9,2.625,1.5,0.75
BIH,Bosnia and Herzegovina,UEFA,playoff,8,5,2,1,17,17,7,10,2.125,0.875,0.625
POL,Poland,UEFA,playoff,8,5,2,1,17,14,7,7,1.75,0.875,0.625
CZE,Czech Republic,UEFA,playoff,8,5,1,2,16,18,8,10,2.25,1.0,0.625
WAL,Wales,UEFA,playoff,8,5,1,2,16,21,11,10,2.625,1.375,0.625
ALB,Albania,UEFA,playoff,8,4,2,2,14,7,5,2,0.875,0.625,0.5
MKD,North Macedonia,UEFA,playoff,8,3,4,1,13,13,10,3,1.625,1.25,0.375
ROU,Romania,UEFA,playoff,8,4,1,3,13,19,10,9,2.375,1.25,0.5
TUR,Turkey,UEFA,playoff,6,4,1,1,13,17,12,5,2.833,2.0,0.667
SVK,Slovakia,UEFA,playoff,6,4,0,2,12,6,8,-2,1.0,1.333,0.667
DEN,Denmark,UEFA,playoff,6,3,2,1,11,16,7,9,2.667,1.167,0.5
KVX,Kosovo,UEFA,playoff,6,3,2,1,11,6,5,1,1.0,0.833,0.5
IRL,Republic of Ireland,UEFA,playoff,6,3,1,2,10,9,7,2,1.5,1.167,0.5
