country_code,nombre_completo,status,pj,g,e,p,gf,gc,dg,gf_per_game,gc_per_game,win_pct
BRA,Brazil,confirmed,114,76,19,19,237,108,129,2.079,0.947,0.667
GER,Germany,confirmed,112,68,21,23,232,130,102,2.071,1.161,0.607
NED,Netherlands,confirmed,55,30,14,11,96,52,44,1.745,0.945,0.545
ITA,Italy,playoff,83,45,21,17,128,77,51,1.542,0.928,0.542
FRA,France,confirmed,73,39,14,20,136,85,51,1.863,1.164,0.534
ARG,Argentina,confirmed,88,47,17,24,152,101,51,1.727,1.148,0.534
TUR,Turkey,playoff,10,5,1,4,20,17,3,2.0,1.7,0.5
POR,Portugal,confirmed,35,17,6,12,61,41,20,1.743,1.171,0.486
ESP,Spain,confirmed,67,31,17,19,108,75,33,1.612,1.119,0.463
POL,Poland,playoff,38,17,6,15,49,50,-1,1.289,1.316,0.447
CRO,Croatia,confirmed,30,13,8,9,43,33,10,1.433,1.1,0.433
ENG,England,confirmed,74,32,22,20,104,68,36,1.405,0.919,0.432
URU,Uruguay,confirmed,59,25,13,21,89,76,13,1.508,1.288,0.424
SEN,Senegal,confirmed,12,5,3,4,16,17,-1,1.333,1.417,0.417
AUT,Austria,confirmed,29,12,4,13,43,47,-4,1.483,1.621,0.414
BEL,Belgium,confirmed,51,21,10,20,69,74,-5,1.353,1.451,0.412
COL,Colombia,confirmed,22,9,3,10,32,30,2,1.455,1.364,0.409
UKR,Ukraine,playoff,5,2,1,2,5,7,-2,1.0,1.4,0.4
DEN,Denmark,playoff,23,9,6,8,31,29,2,1.348,1.261,0.391
ECU,Ecuador,confirmed,13,5,2,6,14,14,0,1.077,1.077,0.385
ROU,Romania,playoff,21,8,5,8,30,32,-2,1.429,1.524,0.381
SWE,Sweden,playoff,51,19,13,19,80,73,7,1.569,1.431,0.373
CZE,Czech Republic,playoff,33,12,5,16,47,49,-2,1.424,1.485,0.364
SUI,Switzerland,confirmed,41,14,8,19,55,73,-18,1.341,1.78,0.341
CIV,Côte d'Ivoire,confirmed,9,3,1,5,13,14,-1,1.444,1.556,0.333
BIH,Bosnia and Herzegovina,playoff,3,1,0,2,4,4,0,1.333,1.333,0.333
GHA,Ghana,confirmed,15,5,3,7,18,23,-5,1.2,1.533,0.333
JAM,Jamaica,playoff,3,1,0,2,3,9,-6,1.0,3.0,0.333
NGA,Nigeria,playoff,21,6,3,12,23,30,-7,1.095,1.429,0.286
MEX,Mexico,confirmed,60,17,15,28,62,101,-39,1.033,1.683,0.283
JPN,Japan,confirmed,25,7,6,12,25,33,-8,1.0,1.32,0.28
PAR,Paraguay,confirmed,27,7,10,10,30,38,-8,1.111,1.407,0.259
SVK,Slovakia,playoff,4,1,1,2,5,7,-2,1.25,1.75,0.25
NOR,Norway,confirmed,8,2,3,3,7,8,-1,0.875,1.0,0.25
USA,United States,confirmed,37,9,8,20,40,66,-26,1.081,1.784,0.243
NIR,Northern Ireland,playoff,13,3,5,5,13,23,-10,1.0,1.769,0.231
ALG,Algeria,confirmed,13,3,3,7,13,19,-6,1.0,1.462,0.231
RSA,South Africa,confirmed,9,2,4,3,11,16,-5,1.222,1.778,0.222
MAR,Morocco,confirmed,23,5,7,11,20,27,-7,0.87,1.174,0.217
KSA,Saudi Arabia,confirmed,19,4,2,13,14,44,-30,0.737,2.316,0.211
AUS,Australia,confirmed,20,4,4,12,17,37,-20,0.85,1.85,0.2
KOR,South Korea,confirmed,38,7,10,21,39,78,-39,1.026,2.053,0.184
SCO,Scotland,confirmed,23,4,7,12,25,41,-16,1.087,1.783,0.174
TUN,Tunisia,confirmed,18,3,5,10,14,26,-12,0.778,1.444,0.167
IRN,Iran,confirmed,18,3,4,11,13,31,-18,0.722,1.722,0.167
IRL,Republic of Ireland,playoff,13,2,8,3,10,10,0,0.769,0.769,0.154
WAL,Wales,playoff,8,1,4,3,5,10,-5,0.625,1.25,0.125
EGY,Egypt,confirmed,7,0,2,5,5,12,-7,0.714,1.714,0.0
PAN,Panama,confirmed,3,0,0,3,2,11,-9,0.667,3.667,0.0
HAI,Haiti,confirmed,3,0,0,3,2,14,-12,0.667,4.667,0.0
NZL,New Zealand,confirmed,6,0,3,3,4,14,-10,0.667,2.333,0.0
QAT,Qatar,confirmed,3,0,0,3,1,7,-6,0.333,2.333,0.0
CAN,Canada,confirmed,6,0,0,6,2,12,-10,0.333,2.0,0.0
IRQ,Iraq,playoff,3,0,0,3,1,4,-3,0.333,1.333,0.0
BOL,Bolivia,playoff,6,0,1,5,1,20,-19,0.167,3.333,0.0
ALB,Albania,playoff,0,0,0,0,0,0,0,0.0,0.0,0.0
KVX,Kosovo,playoff,0,0,0,0,0,0,0,0.0,0.0,0.0
UZB,Uzbekistan,confirmed,0,0,0,0,0,0,0,0.0,0.0,0.0
CUW,Curaçao,confirmed,0,0,0,0,0,0,0,0.0,0.0,0.0
JOR,Jordan,confirmed,0,0,0,0,0,0,0,0.0,0.0,0.0
MKD,North Macedonia,playoff,0,0,0,0,0,0,0,0.0,0.0,0.0
SUR,Suriname,playoff,0,0,0,0,0,0,0,0.0,0.0,0.0
CPV,Cape Verde,confirmed,0,0,0,0,0,0,0,0.0,0.0,0.0
NCL,New Caledonia,playoff,0,0,0,0,0,0,0,0.0,0.0,0.0
