country_code,year,ranking,date_used,team_name,source,status,team_name_es
ALB,1993,92.0,1993-08-08,Albania,country_page,playoff,Albania
ALB,1994,100.0,1994-06-14,Albania,country_page,playoff,Albania
ALB,1995,91.0,1995-06-13,Albania,country_page,playoff,Albania
ALB,1996,116.0,1996-07-03,Albania,country_page,playoff,Albania
ALB,1997,116.0,1997-06-18,Albania,country_page,playoff,Albania
ALB,1998,106.0,1998-05-20,Albania,country_page,playoff,Albania
ALB,1999,83.0,1999-06-16,Albania,country_page,playoff,Albania
ALB,2000,72.0,2000-06-07,Albania,country_page,playoff,Albania
ALB,2001,96.0,2001-06-20,Albania,country_page,playoff,Albania
ALB,2002,93.0,2002-07-03,Albania,country_page,playoff,Albania
ALB,2003,89.0,2003-06-25,Albania,country_page,playoff,Albania
ALB,2004,86.0,2004-06-09,Albania,country_page,playoff,Albania
ALB,2005,82.0,2005-06-15,Albania,country_page,playoff,Albania
ALB,2006,87.0,2006-07-12,Albania,country_page,playoff,Albania
ALB,2007,80.0,2007-06-13,Albania,country_page,playoff,Albania
ALB,2008,81.0,2008-06-04,Albania,country_page,playoff,Albania
ALB,2009,96.0,2009-06-03,Albania,country_page,playoff,Albania
ALB,2010,65.0,2010-05-26,Albania,country_page,playoff,Albania
ALB,2011,74.0,2011-06-29,Albania,country_page,playoff,Albania
ALB,2012,63.0,2012-06-06,Albania,country_page,playoff,Albania
ALB,2013,57.0,2013-06-06,Albania,country_page,playoff,Albania
ALB,2014,58.0,2014-06-05,Albania,country_page,playoff,Albania
ALB,2015,38.0,2015-06-04,Albania,country_page,playoff,Albania
ALB,2016,49.0,2016-06-02,Albania,country_page,playoff,Albania
ALB,2017,62.0,2017-06-01,Albania,country_page,playoff,Albania
ALB,2018,60.0,2018-06-07,Albania,country_page,playoff,Albania
ALB,2019,66.0,2019-06-14,Albania,country_page,playoff,Albania
ALB,2020,66.0,2020-06-11,Albania,country_page,playoff,Albania
ALB,2021,66.0,2021-05-27,Albania,country_page,playoff,Albania
ALB,2022,66.0,2022-06-23,Albania,country_page,playoff,Albania
ALB,2023,62.0,2023-06-29,Albania,country_page,playoff,Albania
ALB,2024,65.0,2024-06-20,Albania,country_page,playoff,Albania
ALB,2025,63.0,2025-07-10,Albania,country_page,playoff,Albania
ALB,2026,63.0,2026-01-19,Albania,html_snapshot,playoff,Albania
ALG,1993,35.0,1993-08-08,Algeria,country_page,confirmed,Argelia
ALG,1994,57.0,1994-06-14,Algeria,country_page,confirmed,Argelia
ALG,1995,48.0,1995-06-13,Algeria,country_page,confirmed,Argelia
ALG,1996,49.0,1996-07-03,Algeria,country_page,confirmed,Argelia
ALG,1997,59.0,1997-06-18,Algeria,country_page,confirmed,Argelia
ALG,1998,71.0,1998-05-20,Algeria,country_page,confirmed,Argelia
ALG,1999,86.0,1999-06-16,Algeria,country_page,confirmed,Argelia
ALG,2000,82.0,2000-06-07,Algeria,country_page,confirmed,Argelia
ALG,2001,75.0,2001-06-20,Algeria,country_page,confirmed,Argelia
ALG,2002,68.0,2002-07-03,Algeria,country_page,confirmed,Argelia
ALG,2003,62.0,2003-06-25,Algeria,country_page,confirmed,Argelia
ALG,2004,73.0,2004-06-09,Algeria,country_page,confirmed,Argelia
ALG,2005,80.0,2005-06-15,Algeria,country_page,confirmed,Argelia
ALG,2006,80.0,2006-07-12,Algeria,country_page,confirmed,Argelia
ALG,2007,79.0,2007-06-13,Algeria,country_page,confirmed,Argelia
ALG,2008,64.0,2008-06-04,Algeria,country_page,confirmed,Argelia
ALG,2009,26.0,2009-06-03,Algeria,country_page,confirmed,Argelia
ALG,2010,35.0,2010-05-26,Algeria,country_page,confirmed,Argelia
ALG,2011,30.0,2011-06-29,Algeria,country_page,confirmed,Argelia
ALG,2012,19.0,2012-06-06,Algeria,country_page,confirmed,Argelia
ALG,2013,26.0,2013-06-06,Algeria,country_page,confirmed,Argelia
ALG,2014,18.0,2014-06-05,Algeria,country_page,confirmed,Argelia
ALG,2015,28.0,2015-06-04,Algeria,country_page,confirmed,Argelia
ALG,2016,38.0,2016-06-02,Algeria,country_page,confirmed,Argelia
ALG,2017,58.0,2017-06-01,Algeria,country_page,confirmed,Argelia
ALG,2018,67.0,2018-06-07,Algeria,country_page,confirmed,Argelia
ALG,2019,35.0,2019-06-14,Algeria,country_page,confirmed,Argelia
ALG,2020,31.0,2020-06-11,Algeria,country_page,confirmed,Argelia
ALG,2021,29.0,2021-05-27,Algeria,country_page,confirmed,Argelia
ALG,2022,40.0,2022-06-23,Algeria,country_page,confirmed,Argelia
ALG,2023,30.0,2023-06-29,Algeria,country_page,confirmed,Argelia
ALG,2024,37.0,2024-06-20,Algeria,country_page,confirmed,Argelia
ALG,2025,34.0,2025-07-10,Algeria,country_page,confirmed,Argelia
ALG,2026,28.0,2026-01-19,Algeria,html_snapshot,confirmed,Argelia
ARG,1993,8.0,1993-08-08,Argentina,country_page,confirmed,Argentina
ARG,1994,10.0,1994-06-14,Argentina,country_page,confirmed,Argentina
ARG,1995,7.0,1995-06-13,Argentina,country_page,confirmed,Argentina
ARG,1996,22.0,1996-07-03,Argentina,country_page,confirmed,Argentina
ARG,1997,17.0,1997-06-18,Argentina,country_page,confirmed,Argentina
ARG,1998,5.0,1998-05-20,Argentina,country_page,confirmed,Argentina
ARG,1999,6.0,1999-06-16,Argentina,country_page,confirmed,Argentina
ARG,2000,3.0,2000-06-07,Argentina,country_page,confirmed,Argentina
ARG,2001,2.0,2001-06-20,Argentina,country_page,confirmed,Argentina
ARG,2002,5.0,2002-07-03,Argentina,country_page,confirmed,Argentina
ARG,2003,5.0,2003-06-25,Argentina,country_page,confirmed,Argentina
ARG,2004,3.0,2004-06-09,Argentina,country_page,confirmed,Argentina
ARG,2005,4.0,2005-06-15,Argentina,country_page,confirmed,Argentina
ARG,2006,3.0,2006-07-12,Argentina,country_page,confirmed,Argentina
ARG,2007,1.0,2007-06-13,Argentina,country_page,confirmed,Argentina
ARG,2008,6.0,2008-06-04,Argentina,country_page,confirmed,Argentina
ARG,2009,8.0,2009-06-03,Argentina,country_page,confirmed,Argentina
ARG,2010,5.0,2010-05-26,Argentina,country_page,confirmed,Argentina
ARG,2011,10.0,2011-06-29,Argentina,country_page,confirmed,Argentina
ARG,2012,3.0,2012-06-06,Argentina,country_page,confirmed,Argentina
ARG,2013,3.0,2013-06-06,Argentina,country_page,confirmed,Argentina
ARG,2014,2.0,2014-06-05,Argentina,country_page,confirmed,Argentina
ARG,2015,2.0,2015-06-04,Argentina,country_page,confirmed,Argentina
ARG,2016,1.0,2016-06-02,Argentina,country_page,confirmed,Argentina
ARG,2017,4.0,2017-06-01,Argentina,country_page,confirmed,Argentina
ARG,2018,11.0,2018-06-07,Argentina,country_page,confirmed,Argentina
ARG,2019,9.0,2019-06-14,Argentina,country_page,confirmed,Argentina
ARG,2020,7.0,2020-06-11,Argentina,country_page,confirmed,Argentina
ARG,2021,5.0,2021-05-27,Argentina,country_page,confirmed,Argentina
ARG,2022,2.0,2022-06-23,Argentina,country_page,confirmed,Argentina
ARG,2023,1.0,2023-06-29,Argentina,country_page,confirmed,Argentina
ARG,2024,1.0,2024-06-20,Argentina,country_page,confirmed,Argentina
ARG,2025,2.0,2025-07-10,Argentina,country_page,confirmed,Argentina
ARG,2026,2.0,2026-01-19,Argentina,html_snapshot,confirmed,Argentina
AUS,1993,49.0,1993-08-08,Australia,country_page,confirmed,Australia
AUS,1994,58.0,1994-06-14,Australia,country_page,confirmed,Australia
AUS,1995,51.0,1995-06-13,Australia,country_page,confirmed,Australia
AUS,1996,50.0,1996-07-03,Australia,country_page,confirmed,Australia
AUS,1997,35.0,1997-06-18,Australia,country_page,confirmed,Australia
AUS,1998,39.0,1998-05-20,Australia,country_page,confirmed,Australia
AUS,1999,89.0,1999-06-16,Australia,country_page,confirmed,Australia
AUS,2000,73.0,2000-06-07,Australia,country_page,confirmed,Australia
AUS,2001,48.0,2001-06-20,Australia,country_page,confirmed,Australia
AUS,2002,50.0,2002-07-03,Australia,country_page,confirmed,Australia
AUS,2003,82.0,2003-06-25,Australia,country_page,confirmed,Australia
AUS,2004,58.0,2004-06-09,Australia,country_page,confirmed,Australia
AUS,2005,48.0,2005-06-15,Australia,country_page,confirmed,Australia
AUS,2006,39.0,2006-07-12,Australia,country_page,confirmed,Australia
AUS,2007,48.0,2007-06-13,Australia,country_page,confirmed,Australia
AUS,2008,28.0,2008-06-04,Australia,country_page,confirmed,Australia
AUS,2009,21.0,2009-06-03,Australia,country_page,confirmed,Australia
AUS,2010,26.0,2010-05-26,Australia,country_page,confirmed,Australia
AUS,2011,23.0,2011-06-29,Australia,country_page,confirmed,Australia
AUS,2012,36.0,2012-06-06,Australia,country_page,confirmed,Australia
AUS,2013,58.0,2013-06-06,Australia,country_page,confirmed,Australia
AUS,2014,100.0,2014-06-05,Australia,country_page,confirmed,Australia
AUS,2015,57.0,2015-06-04,Australia,country_page,confirmed,Australia
AUS,2016,47.0,2016-06-02,Australia,country_page,confirmed,Australia
AUS,2017,38.0,2017-06-01,Australia,country_page,confirmed,Australia
AUS,2018,41.0,2018-06-07,Australia,country_page,confirmed,Australia
AUS,2019,42.0,2019-06-14,Australia,country_page,confirmed,Australia
AUS,2020,41.0,2020-06-11,Australia,country_page,confirmed,Australia
AUS,2021,35.0,2021-05-27,Australia,country_page,confirmed,Australia
AUS,2022,27.0,2022-06-23,Australia,country_page,confirmed,Australia
AUS,2023,25.0,2023-06-29,Australia,country_page,confirmed,Australia
AUS,2024,26.0,2024-06-20,Australia,country_page,confirmed,Australia
AUS,2025,26.0,2025-07-10,Australia,country_page,confirmed,Australia
AUS,2026,27.0,2026-01-19,Australia,html_snapshot,confirmed,Australia
AUT,1993,36.0,1993-08-08,Austria,country_page,confirmed,Austria
AUT,1994,49.0,1994-06-14,Austria,country_page,confirmed,Austria
AUT,1995,39.0,1995-06-13,Austria,country_page,confirmed,Austria
AUT,1996,34.0,1996-07-03,Austria,country_page,confirmed,Austria
AUT,1997,25.0,1997-06-18,Austria,country_page,confirmed,Austria
AUT,1998,22.0,1998-05-20,Austria,country_page,confirmed,Austria
AUT,1999,28.0,1999-06-16,Austria,country_page,confirmed,Austria
AUT,2000,44.0,2000-06-07,Austria,country_page,confirmed,Austria
AUT,2001,56.0,2001-06-20,Austria,country_page,confirmed,Austria
AUT,2002,54.0,2002-07-03,Austria,country_page,confirmed,Austria
AUT,2003,67.0,2003-06-25,Austria,country_page,confirmed,Austria
AUT,2004,83.0,2004-06-09,Austria,country_page,confirmed,Austria
AUT,2005,69.0,2005-06-15,Austria,country_page,confirmed,Austria
AUT,2006,65.0,2006-07-12,Austria,country_page,confirmed,Austria
AUT,2007,94.0,2007-06-13,Austria,country_page,confirmed,Austria
AUT,2008,92.0,2008-06-04,Austria,country_page,confirmed,Austria
AUT,2009,61.0,2009-06-03,Austria,country_page,confirmed,Austria
AUT,2010,46.0,2010-05-26,Austria,country_page,confirmed,Austria
AUT,2011,70.0,2011-06-29,Austria,country_page,confirmed,Austria
AUT,2012,70.0,2012-06-06,Austria,country_page,confirmed,Austria
AUT,2013,46.0,2013-06-06,Austria,country_page,confirmed,Austria
AUT,2014,23.0,2014-06-05,Austria,country_page,confirmed,Austria
AUT,2015,10.0,2015-06-04,Austria,country_page,confirmed,Austria
AUT,2016,31.0,2016-06-02,Austria,country_page,confirmed,Austria
AUT,2017,29.0,2017-06-01,Austria,country_page,confirmed,Austria
AUT,2018,22.0,2018-06-07,Austria,country_page,confirmed,Austria
AUT,2019,26.0,2019-06-14,Austria,country_page,confirmed,Austria
AUT,2020,23.0,2020-06-11,Austria,country_page,confirmed,Austria
AUT,2021,31.0,2021-05-27,Austria,country_page,confirmed,Austria
AUT,2022,34.0,2022-06-23,Austria,country_page,confirmed,Austria
