country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
POR,20.0,35.0,40.0,0.0,7.940300000000001
GER,20.0,35.0,45.0,5.0,6.1079
CRO,10.0,15.0,25.0,10.0,0.9803
BRA,10.0,20.0,30.0,5.0,8.8226
NED,10.0,15.0,30.0,10.0,3.7811
BEL,5.0,10.0,30.0,0.0,2.3354
ESP,5.0,15.0,20.0,0.0,14.437
ENG,5.0,5.0,15.0,10.0,11.343300000000001
URU,5.0,5.0,10.0,20.0,1.1851
SWE,5.0,5.0,10.0,20.0,0.9803
FRA,5.0,10.0,15.0,5.0,13.233900000000002
SEN,0.0,0.0,0.0,30.0,0.9803
KSA,0.0,0.0,0.0,55.00000000000001,0.0793
CPV,0.0,0.0,0.0,65.0,0.0793
NOR,0.0,0.0,5.0,35.0,3.0540000000000003
ARG,0.0,0.0,10.0,15.0,8.8226
IRQ,0.0,0.0,0.0,70.0,0.0793
IRN,0.0,0.0,0.0,30.0,0.1585
AUT,0.0,5.0,5.0,0.0,0.5257999999999999
ALG,0.0,0.0,5.0,45.0,0.198
JOR,0.0,0.0,0.0,75.0,0.0793
COL,0.0,0.0,15.0,5.0,2.5614000000000003
COD,0.0,0.0,0.0,45.0,0.1057
UZB,0.0,0.0,0.0,80.0,0.0793
GHA,0.0,0.0,5.0,60.0,0.198
NZL,0.0,0.0,0.0,45.0,0.0793
MEX,0.0,0.0,5.0,15.0,0.9803
EGY,0.0,0.0,0.0,55.00000000000001,0.26380000000000003
HAI,0.0,0.0,0.0,55.00000000000001,0.0793
KOR,0.0,0.0,0.0,20.0,0.1761
RSA,0.0,0.0,0.0,65.0,0.0835
SUI,0.0,5.0,5.0,20.0,0.9803
CAN,0.0,0.0,0.0,40.0,0.5257999999999999
BIH,0.0,0.0,0.0,15.0,0.3163
QAT,0.0,0.0,0.0,50.0,0.0793
MAR,0.0,0.0,5.0,20.0,1.3017
SCO,0.0,0.0,5.0,45.0,0.3163
USA,0.0,0.0,5.0,30.0,1.3017
CZE,0.0,0.0,5.0,20.0,0.26380000000000003
TUR,0.0,10.0,15.0,15.0,0.9803
PAR,0.0,0.0,0.0,35.0,0.5257999999999999
AUS,0.0,0.0,10.0,60.0,0.1585
ECU,0.0,5.0,10.0,30.0,1.3017
CIV,0.0,0.0,5.0,40.0,0.26380000000000003
CUW,0.0,0.0,0.0,70.0,0.0793
JPN,0.0,5.0,10.0,55.00000000000001,1.5569
TUN,0.0,0.0,5.0,40.0,0.1585
PAN,0.0,0.0,0.0,65.0,0.0793
