country_code,confederation,status,ranking_2026,ranking_volatility,wc_win_pct,wc_gc_per_game,wc_titles,qual_gf_per_game,qual_gc_per_game,qual_points_per_game,market_value_eur_m,squad_avg_age,copa_win_pct,euro_win_pct,win_pct_vs_top10,wc_debut_flag,host_flag,is_playoff,confederation_strength_index
ALB,UEFA,playoff,63.0,1.6431676725154982,0.0,1.316,0.0,0.875,0.625,1.75,88.5,28.1,0.0,0.16666666666666666,0.0,1,0,1,0.028659160696008185
ALG,CAF,confirmed,28.0,4.919349550499537,0.231,1.462,0.0,2.4,0.8,2.5,229.3,26.5,0.0,0.0,0.0,0,0,0,0.020161290322580645
ARG,CONMEBOL,confirmed,2.0,0.5477225575051661,0.534,1.148,3.0,1.722,0.556,2.111111111111111,575.0,28.0,0.6153846153846154,0.0,0.19047619047619047,0,0,0,0.03954802259887006
AUS,AFC,confirmed,27.0,0.8366600265340756,0.2,1.85,0.0,2.375,0.438,2.3125,32.85,27.7,0.0,0.0,0.0,0,0,0,0.023746701846965697
AUT,UEFA,confirmed,24.0,4.774934554525329,0.414,1.621,0.0,2.75,0.5,2.375,231.9,28.1,0.0,0.2857142857142857,0.2,0,0,0,0.028659160696008185
BEL,UEFA,confirmed,9.0,2.4083189157584592,0.412,1.451,0.0,3.625,0.875,2.25,442.2,27.2,0.0,0.46153846153846156,0.38636363636363635,0,0,0,0.028659160696008185
BIH,UEFA,playoff,71.0,6.618156843109718,0.333,1.333,0.0,2.125,0.875,2.125,92.1,26.8,0.0,0.0,0.0,0,0,1,0.028659160696008185
BOL,CONMEBOL,playoff,76.0,3.9115214431215892,0.0,3.333,0.0,0.944,1.944,1.1111111111111112,15.78,24.1,0.038461538461538464,0.0,0.0,0,0,1,0.03954802259887006
BRA,CONMEBOL,confirmed,5.0,1.7888543819998322,0.667,0.947,5.0,1.333,0.944,1.5555555555555556,932.0,27.9,0.5263157894736842,0.0,0.3559322033898305,0,0,0,0.03954802259887006
CAN,CONCACAF,confirmed,29.0,11.991663771137013,0.0,2.0,0.0,2.167,0.5,2.0,21.88,24.7,0.0,0.0,0.0,0,1,0,0.017777777777777778
CGO,CAF,playoff,134.0,15.42076522096099,0.0,1.4975,0.0,2.2,0.44999999999999996,2.5,31.83,25.9,0.0,0.0,0.041666666666666664,1,0,1,0.020161290322580645
CIV,CAF,confirmed,37.0,4.764451699828638,0.333,1.556,0.0,2.5,0.0,2.6,370.8,26.7,0.0,0.0,0.0,0,0,0,0.020161290322580645
COL,CONMEBOL,confirmed,14.0,1.8708286933869707,0.409,1.364,0.0,1.556,1.0,1.5555555555555556,285.1,29.4,0.5263157894736842,0.0,0.3870967741935484,0,0,0,0.03954802259887006
CPV,CAF,confirmed,67.0,2.949576240750525,0.0,1.4975,0.0,1.6,0.8,2.3,31.83,29.3,0.0,0.0,0.041666666666666664,1,0,0,0.020161290322580645
CRO,UEFA,confirmed,11.0,2.16794833886788,0.433,1.1,0.0,3.25,0.5,2.75,258.5,28.6,0.0,0.36,0.14285714285714285,0,0,0,0.028659160696008185
CUW,CONCACAF,confirmed,81.0,4.527692569068709,0.0,2.5,0.0,2.167,0.5,2.0,5.3,24.7,0.0,0.0,0.0,1,0,0,0.017777777777777778
CZE,UEFA,playoff,43.0,2.588435821108957,0.364,1.485,0.0,2.25,1.0,2.0,115.9,27.0,0.0,0.375,0.1,0,0,1,0.028659160696008185
DEN,UEFA,playoff,21.0,1.4142135623730951,0.391,1.261,0.0,2.667,1.167,1.8333333333333333,381.6,27.2,0.0,0.2702702702702703,0.0851063829787234,0,0,1,0.028659160696008185
ECU,CONMEBOL,confirmed,23.0,7.893034904268447,0.385,1.077,0.0,0.778,0.278,1.6111111111111112,349.58,25.3,0.1111111111111111,0.0,0.0,0,0,0,0.03954802259887006
EGY,CAF,confirmed,31.0,3.0331501776206204,0.0,1.714,0.0,2.0,0.2,2.6,138.5,29.1,0.0,0.0,0.0,0,0,0,0.020161290322580645
ENG,UEFA,confirmed,4.0,0.7071067811865476,0.432,0.919,1.0,2.75,0.0,3.0,1300.0,26.9,0.0,0.35555555555555557,0.12244897959183673,0,0,0,0.028659160696008185
ESP,UEFA,confirmed,1.0,4.159326868617084,0.463,1.119,1.0,3.5,0.333,2.6666666666666665,1150.0,27.3,0.0,0.4716981132075472,0.44,0,0,0,0.028659160696008185
FRA,UEFA,confirmed,3.0,0.5477225575051661,0.534,1.164,2.0,2.667,0.667,2.6666666666666665,1290.0,26.8,0.0,0.40816326530612246,0.425,0,0,0,0.028659160696008185
GER,UEFA,confirmed,10.0,3.03315017762062,0.607,1.161,4.0,2.667,0.5,2.5,828.0,26.7,0.0,0.46511627906976744,0.49333333333333335,0,0,0,0.028659160696008185
GHA,CAF,confirmed,72.0,8.093207028119323,0.333,1.533,0.0,2.3,0.6,2.5,254.85,25.9,0.0,0.0,0.08333333333333333,0,0,0,0.020161290322580645
HAI,CONCACAF,confirmed,83.0,2.3874672772626644,0.0,4.667,0.0,1.5,1.0,1.8333333333333333,5.3,24.7,0.0,0.0,0.0,0,0,0,0.017777777777777778
IRL,UEFA,playoff,59.0,5.167204273105526,0.154,0.769,0.0,1.5,1.167,1.6666666666666667,197.8,27.1,0.0,0.2,0.1,0,0,1,0.028659160696008185
IRN,AFC,confirmed,20.0,2.1908902300206647,0.167,1.722,0.0,2.188,0.75,2.3125,34.25,29.3,0.0,0.0,0.0,0,0,0,0.023746701846965697
IRQ,AFC,playoff,58.0,4.878524367060187,0.0,1.333,0.0,1.5,0.611,2.0555555555555554,10.7,28.2,0.0,0.0,0.08333333333333333,0,0,1,0.023746701846965697
ITA,UEFA,playoff,13.0,2.16794833886788,0.542,0.928,4.0,2.625,1.5,2.25,827.0,27.4,0.0,0.42857142857142855,0.30357142857142855,0,0,1,0.028659160696008185
JAM,CONCACAF,playoff,70.0,6.260990336999411,0.333,3.0,0.0,1.833,0.5,1.8333333333333333,44.25,26.8,0.0,0.0,0.0,0,0,1,0.017777777777777778
JOR,AFC,confirmed,64.0,11.823705003085962,0.0,1.85,0.0,2.0,0.75,1.8125,9.3,28.6,0.0,0.0,0.08333333333333333,1,0,0,0.023746701846965697
JPN,AFC,confirmed,19.0,1.9235384061671346,0.28,1.32,0.0,3.375,0.188,2.5625,223.5,26.6,0.0,0.0,0.18181818181818182,0,0,0,0.023746701846965697
KOR,AFC,confirmed,22.0,1.224744871391589,0.184,2.053,0.0,2.5,0.5,2.375,118.8,27.6,0.0,0.0,0.16666666666666666,0,0,0,0.023746701846965697
KSA,AFC,confirmed,61.0,4.847679857416329,0.211,2.316,0.0,1.222,0.722,1.6666666666666667,21.8,27.2,0.0,0.0,0.3333333333333333,0,0,0,0.023746701846965697
KVX,UEFA,playoff,150.0,0.0,0.0,1.316,0.0,1.0,0.833,1.8333333333333333,143.38,27.3,0.0,0.0,0.13314358001265023,1,0,1,0.028659160696008185
MAR,CAF,confirmed,8.0,2.3021728866442674,0.217,1.174,0.0,2.75,0.25,3.0,435.55,27.5,0.0,0.0,0.25,0,0,0,0.020161290322580645
MEX,CONCACAF,confirmed,16.0,1.7320508075688772,0.283,1.683,0.0,2.167,0.5,2.0,101.8,26.0,0.0,0.0,0.15217391304347827,0,1,0,0.017777777777777778
MKD,UEFA,playoff,66.0,0.8366600265340756,0.0,1.316,0.0,1.625,1.25,1.625,36.35,28.2,0.0,0.0,0.13314358001265023,1,0,1,0.028659160696008185
NCL,OFC,playoff,150.0,5.224940191045253,0.0,2.333,0.0,2.0,1.4,2.0,16.43,27.9,0.0,0.0,0.1,1,0,1,0.00851063829787234
NED,UEFA,confirmed,7.0,0.5477225575051662,0.545,0.945,0.0,3.375,0.5,2.5,808.0,26.7,0.0,0.4888888888888889,0.3333333333333333,0,0,0,0.028659160696008185
