country_code,current_champion_pct,momios_pct,master48_champion_pct,delta_current_minus_master48
ESP,28.016000000000002,14.437,9.284,18.732
ENG,15.628,11.343300000000001,5.892,9.736
ARG,14.358,8.8226,7.688000000000001,6.67
FRA,13.586,13.233900000000002,11.216,2.370000000000001
BRA,12.254,8.8226,12.014,0.2400000000000002
POR,4.4639999999999995,7.940300000000001,5.28,-0.8160000000000007
NED,2.686,3.7811,8.12,-5.433999999999999
GER,2.524,6.1079,12.734000000000002,-10.21
BEL,2.21,2.3354,4.03,-1.8200000000000003
MAR,1.32,1.3017,0.748,0.5720000000000001
CRO,0.536,0.9803,2.802,-2.266
URU,0.44400000000000006,1.1851,2.12,-1.6760000000000002
USA,0.40800000000000003,1.3017,0.634,-0.22599999999999998
SEN,0.392,0.9803,1.1159999999999999,-0.7239999999999999
SUI,0.194,0.9803,1.288,-1.094
COL,0.17600000000000002,2.5614000000000003,2.77,-2.594
MEX,0.122,0.9803,0.7779999999999999,-0.6559999999999999
JPN,0.1,1.5569,0.3,-0.19999999999999998
NOR,0.098,3.0540000000000003,1.03,-0.932
ECU,0.094,1.3017,0.784,-0.6900000000000001
KOR,0.086,0.1761,0.14400000000000002,-0.058000000000000024
CAN,0.084,0.5257999999999999,0.098,-0.013999999999999999
TUR,0.058,0.9803,1.9460000000000002,-1.8880000000000001
SWE,0.036000000000000004,0.9803,1.17,-1.134
EGY,0.024,0.26380000000000003,0.094,-0.07
IRN,0.02,0.1585,0.132,-0.112
AUT,0.013999999999999999,0.5257999999999999,1.49,-1.476
CIV,0.012,0.26380000000000003,0.252,-0.24
AUS,0.01,0.1585,0.096,-0.08600000000000001
CZE,0.01,0.26380000000000003,1.056,-1.046
ALG,0.008,0.198,0.194,-0.186
COD,0.006,0.1057,0.074,-0.06799999999999999
SCO,0.006,0.3163,0.31,-0.304
PAN,0.006,0.0793,0.1,-0.094
GHA,0.004,0.198,0.17600000000000002,-0.17200000000000001
HAI,0.004,0.0793,0.044000000000000004,-0.04000000000000001
UZB,0.002,0.0793,0.042,-0.04
CPV,0.0,0.0793,0.086,-0.086
IRQ,0.0,0.0793,0.038,-0.038
QAT,0.0,0.0793,0.038,-0.038
KSA,0.0,0.0793,0.094,-0.094
PAR,0.0,0.5257999999999999,0.5539999999999999,-0.5539999999999999
JOR,0.0,0.0793,0.022000000000000002,-0.022000000000000002
BIH,0.0,0.3163,0.628,-0.628
NZL,0.0,0.0793,0.11800000000000001,-0.11800000000000001
TUN,0.0,0.1585,0.194,-0.194
RSA,0.0,0.0835,0.12,-0.12
CUW,0.0,0.0793,0.062,-0.062
