country_code,current_temporal_master_pct,momios_pct,master48_pct,delta_current_minus_master48
ESP,22.79,14.437,8.418000000000001,14.371999999999998
ARG,15.862000000000002,8.8226,8.3,7.562000000000001
BRA,14.966,8.8226,13.808000000000002,1.1579999999999977
FRA,14.804,13.233900000000002,10.912,3.8919999999999995
ENG,13.514,11.3433,5.844,7.669999999999999
POR,4.316,7.940300000000001,5.604,-1.2880000000000003
NED,3.5520000000000005,3.7811,8.014000000000001,-4.462000000000001
GER,3.53,6.1079,12.72,-9.190000000000001
BEL,2.4219999999999997,2.3354,3.61,-1.1880000000000002
MAR,0.926,1.3017,0.624,0.30200000000000005
CRO,0.724,0.9803,2.9659999999999997,-2.242
URU,0.44,1.1851,2.2880000000000003,-1.8480000000000003
SEN,0.35,0.9803,1.318,-0.9680000000000001
USA,0.338,1.3017,0.434,-0.09599999999999997
SUI,0.262,0.9803,0.982,-0.72
COL,0.256,2.5614000000000003,2.604,-2.348
MEX,0.172,0.9803,0.5579999999999999,-0.38599999999999995
NOR,0.13,3.0540000000000003,0.8059999999999999,-0.6759999999999999
KOR,0.104,0.1761,0.1379999999999999,-0.033999999999999905
JPN,0.096,1.5569,0.386,-0.29000000000000004
TUR,0.076,0.9803,2.314,-2.238
ECU,0.068,1.3017,0.936,-0.8680000000000001
CAN,0.054,0.5257999999999999,0.0559999999999999,-0.0019999999999998977
AUT,0.048,0.5257999999999999,1.304,-1.256
IRN,0.032,0.1585,0.168,-0.136
CIV,0.0279999999999999,0.2638,0.294,-0.26600000000000007
SWE,0.024,0.9803,1.21,-1.186
EGY,0.022,0.2638,0.082,-0.060000000000000005
CZE,0.022,0.2638,1.0699999999999998,-1.0479999999999998
SCO,0.016,0.3163,0.122,-0.106
GHA,0.012,0.198,0.25,-0.238
ALG,0.01,0.198,0.194,-0.184
NZL,0.006,0.0793,0.036,-0.03
PAR,0.006,0.5257999999999999,0.49,-0.484
AUS,0.006,0.1585,0.1139999999999999,-0.10799999999999989
BIH,0.004,0.3163,0.482,-0.478
PAN,0.004,0.0793,0.0279999999999999,-0.0239999999999999
KSA,0.004,0.0793,0.074,-0.06999999999999999
IRQ,0.002,0.0793,0.05,-0.048
CUW,0.002,0.0793,0.026,-0.024
QAT,0.0,0.0793,0.0139999999999999,-0.0139999999999999
JOR,0.0,0.0793,0.016,-0.016
CPV,0.0,0.0793,0.0279999999999999,-0.0279999999999999
COD,0.0,0.1057,0.0279999999999999,-0.0279999999999999
UZB,0.0,0.0793,0.026,-0.026
RSA,0.0,0.0835,0.078,-0.078
TUN,0.0,0.1585,0.15,-0.15
HAI,0.0,0.0793,0.026,-0.026
