country_code,group_letter,group_win_prob,champion_prob
MEX,A,0.451837,0.009803
CZE,A,0.274557,0.002638
KOR,A,0.202087,0.001761
RSA,A,0.071518,0.000835
SUI,B,0.464222,0.009803
CAN,B,0.258534,0.005258
BIH,B,0.246291,0.003163
QAT,B,0.030952,0.000793
BRA,C,0.77751,0.088226
MAR,C,0.146467,0.013017
SCO,C,0.067025,0.003163
HAI,C,0.008998,0.000793
USA,D,0.372948,0.013017
TUR,D,0.331561,0.009803
PAR,D,0.18364,0.005258
AUS,D,0.11185,0.001585
GER,E,0.682441,0.061079
ECU,E,0.187888,0.013017
CIV,E,0.120597,0.002638
CUW,E,0.009075,0.000793
NED,F,0.503122,0.037811
JPN,F,0.21261,0.015569
SWE,F,0.171763,0.009803
TUN,F,0.112506,0.001585
BEL,G,0.640184,0.023354
EGY,G,0.179251,0.002638
IRN,G,0.137886,0.001585
NZL,G,0.042679,0.000793
ESP,H,0.76462,0.14437
URU,H,0.168316,0.011851
KSA,H,0.049146,0.000793
CPV,H,0.017918,0.000793
FRA,I,0.589588,0.132339
NOR,I,0.264713,0.03054
SEN,I,0.115812,0.009803
IRQ,I,0.029887,0.000793
ARG,J,0.687584,0.088226
AUT,J,0.162445,0.005258
ALG,J,0.127635,0.00198
JOR,J,0.022336,0.000793
POR,K,0.637394,0.079403
COL,K,0.23796,0.025614
COD,K,0.09915,0.001057
UZB,K,0.025496,0.000793
ENG,L,0.720428,0.113433
CRO,L,0.184333,0.009803
GHA,L,0.076805,0.00198
PAN,L,0.018433,0.000793
