country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct,elo
BRA,22.956,32.532,46.12,9.661999999999999,8.8226,1686.2929014996032
ESP,17.406,29.477999999999998,41.687999999999995,6.52,14.437,1714.3923189616369
ENG,17.01,26.706000000000003,41.29,6.94,11.343300000000001,1627.3891306561302
ARG,10.363999999999999,25.054,39.484,4.328,8.8226,1711.6620773848508
GER,8.402,14.604000000000001,27.089999999999996,10.098,6.1079,1672.4029164590584
FRA,7.588,14.39,27.826,6.859999999999999,13.233900000000002,1720.461756618675
URU,2.962,8.82,21.69,8.4,1.1851,1600.1966414469082
BEL,2.388,8.302,20.466,5.264,2.3354,1609.4053539437384
NED,1.6760000000000002,4.804,13.406,10.324,3.7811,1704.8075708990907
NOR,1.51,4.784,12.814,15.110000000000001,3.0540000000000003,1512.3818786921338
POR,1.3559999999999999,5.086,13.25,7.4639999999999995,7.940300000000001,1592.2223053485718
SUI,0.928,3.216,10.724,4.590000000000001,0.9803,1570.405138461628
CRO,0.848,3.088,9.812,13.274,0.9803,1602.9886985067415
SWE,0.796,2.826,8.596,18.444,0.9803,1558.3941586294136
ECU,0.518,1.932,6.122,22.408,1.3017,1464.6836359277227
COL,0.516,2.06,7.066,11.129999999999999,2.5614000000000003,1602.7624885043244
JPN,0.464,1.722,5.6739999999999995,26.666,1.5569,1498.5824555195795
MAR,0.45999999999999996,1.77,6.366,13.211999999999998,1.3017,1504.7258120064294
KOR,0.3,1.272,4.514,19.03,0.1761,1440.519889402222
TUR,0.27599999999999997,1.252,5.438,11.806,0.9803,1517.047662155174
CIV,0.164,0.758,2.992,38.602,0.26380000000000003,1488.8286367213523
USA,0.14200000000000002,0.746,3.9859999999999998,15.351999999999999,1.3017,1479.0917239579526
EGY,0.106,0.35200000000000004,1.7500000000000002,29.296,0.26380000000000003,1412.1936130256208
SEN,0.094,0.51,2.532,32.151999999999994,0.9803,1532.4058823784353
MEX,0.086,0.538,2.326,17.936,0.9803,1535.4864389711063
CZE,0.084,0.376,1.8980000000000001,21.978,0.26380000000000003,1496.390074750953
SCO,0.082,0.366,1.6840000000000002,42.982,0.3163,1414.5337592503445
AUT,0.076,0.43,2.054,26.640000000000004,0.5257999999999999,1510.7338737103719
CAN,0.068,0.388,1.9300000000000002,23.148,0.5257999999999999,1411.2011278030795
NZL,0.066,0.20400000000000001,0.814,51.803999999999995,0.0793,1472.8857847339568
GHA,0.062,0.356,1.752,38.712,0.198,1494.2172440007873
ALG,0.044000000000000004,0.20600000000000002,1.018,34.938,0.198,1451.8575435984342
BIH,0.04,0.18,0.992,33.410000000000004,0.3163,1485.2441499286458
PAR,0.04,0.232,1.192,43.39,0.5257999999999999,1502.8707942144088
CUW,0.036000000000000004,0.154,0.666,62.586,0.0793,1500.0
AUS,0.013999999999999999,0.06,0.356,62.053999999999995,0.1585,1465.0474536731183
UZB,0.012,0.055999999999999994,0.36,52.492000000000004,0.0793,1500.0
JOR,0.008,0.03,0.184,71.304,0.0793,1500.0
RSA,0.008,0.024,0.13999999999999999,69.834,0.0835,1506.135556143806
CPV,0.008,0.074,0.33,53.70399999999999,0.0793,1500.0
COD,0.006,0.018000000000000002,0.092,65.766,0.1057,1452.293756861577
KSA,0.006,0.022000000000000002,0.182,65.922,0.0793,1399.361018693726
IRN,0.006,0.064,0.414,47.552,0.1585,1430.4940459199977
HAI,0.006,0.052,0.3,64.554,0.0793,1414.0649527447679
PAN,0.006,0.036000000000000004,0.166,76.112,0.0793,1436.7995191694908
QAT,0.002,0.02,0.136,71.682,0.0793,1434.4245884852037
TUN,0.002,0.042,0.266,73.694,0.1585,1434.7585466477585
IRQ,0.002,0.008,0.052,80.874,0.0793,1433.827129592664
