country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
GER,12.734000000000002,19.387999999999998,30.264000000000003,6.21,6.1079
BRA,12.014,18.566,29.310000000000002,9.562,8.8226
FRA,11.216,17.626,30.266,11.478,13.233900000000002
ESP,9.284,17.426,27.864,7.707999999999999,14.437
NED,8.12,13.544,23.058,9.6,3.7811
ARG,7.688000000000001,15.424,24.602,10.581999999999999,8.8226
ENG,5.892,11.278,20.846,13.328000000000001,11.343300000000001
POR,5.28,11.178,19.906,12.312,7.940300000000001
BEL,4.03,9.192,18.035999999999998,9.568,2.3354
CRO,2.802,6.506,13.852,18.804000000000002,0.9803
COL,2.77,6.8500000000000005,14.457999999999998,14.566,2.5614000000000003
URU,2.12,5.398,12.13,18.459999999999997,1.1851
TUR,1.9460000000000002,5.140000000000001,11.342,19.192,0.9803
AUT,1.49,4.036,9.488000000000001,21.096,0.5257999999999999
SUI,1.288,3.6740000000000004,9.494,14.427999999999999,0.9803
SWE,1.17,2.934,7.46,27.932000000000002,0.9803
SEN,1.1159999999999999,2.9979999999999998,8.206,27.688000000000002,0.9803
CZE,1.056,2.8080000000000003,7.4719999999999995,19.618,0.26380000000000003
NOR,1.03,2.778,7.04,29.03,3.0540000000000003
ECU,0.784,2.416,7.1739999999999995,27.37,1.3017
MEX,0.7779999999999999,2.1340000000000003,6.168,19.864,0.9803
MAR,0.748,1.958,5.282,25.828,1.3017
USA,0.634,2.094,5.892,27.616000000000003,1.3017
BIH,0.628,2.08,5.898,21.778,0.3163
PAR,0.5539999999999999,1.73,4.9799999999999995,32.364,0.5257999999999999
SCO,0.31,0.906,2.826,37.126,0.3163
JPN,0.3,1.012,3.222,42.964,1.5569
CIV,0.252,0.938,3.254,41.976,0.26380000000000003
TUN,0.194,0.6479999999999999,2.248,54.174,0.1585
ALG,0.194,0.784,2.618,36.674,0.198
GHA,0.17600000000000002,0.7939999999999999,2.658,47.856,0.198
KOR,0.14400000000000002,0.488,1.856,47.108,0.1761
IRN,0.132,0.606,2.324,32.512,0.1585
RSA,0.12,0.394,1.6660000000000001,43.934,0.0835
NZL,0.11800000000000001,0.512,1.8079999999999998,47.64,0.0793
PAN,0.1,0.378,1.324,54.09,0.0793
CAN,0.098,0.406,1.71,41.422,0.5257999999999999
AUS,0.096,0.378,1.6019999999999999,50.8,0.1585
EGY,0.094,0.43,1.8800000000000001,44.854,0.26380000000000003
KSA,0.094,0.402,1.5559999999999998,50.626000000000005,0.0793
CPV,0.086,0.368,1.252,58.818000000000005,0.0793
COD,0.074,0.27,1.036,52.928,0.1057
CUW,0.062,0.28800000000000003,1.082,59.45399999999999,0.0793
HAI,0.044000000000000004,0.182,0.784,59.684000000000005,0.0793
UZB,0.042,0.152,0.698,55.386,0.0793
IRQ,0.038,0.22200000000000003,0.8840000000000001,64.742,0.0793
QAT,0.038,0.156,0.652,53.56999999999999,0.0793
JOR,0.022000000000000002,0.13,0.5720000000000001,65.68,0.0793
