country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
ESP,35.0,40.0,60.0,0.0,14.437
POR,15.0,15.0,15.0,10.0,7.940300000000001
BEL,10.0,10.0,25.0,0.0,2.3354
URU,5.0,5.0,10.0,5.0,1.1851
NED,5.0,20.0,30.0,0.0,3.7811
FRA,5.0,20.0,35.0,5.0,13.233900000000002
ECU,5.0,5.0,5.0,10.0,1.3017
GER,5.0,20.0,25.0,0.0,6.1079
ARG,5.0,15.0,35.0,5.0,8.8226
BRA,5.0,20.0,40.0,15.0,8.8226
ENG,5.0,5.0,20.0,10.0,11.343300000000001
NOR,0.0,0.0,15.0,30.0,3.0540000000000003
GHA,0.0,0.0,0.0,40.0,0.198
CRO,0.0,5.0,10.0,15.0,0.9803
KSA,0.0,0.0,5.0,55.00000000000001,0.0793
CPV,0.0,0.0,5.0,70.0,0.0793
UZB,0.0,0.0,0.0,60.0,0.0793
COD,0.0,0.0,0.0,60.0,0.1057
JOR,0.0,0.0,0.0,55.00000000000001,0.0793
COL,0.0,5.0,10.0,5.0,2.5614000000000003
SEN,0.0,0.0,5.0,15.0,0.9803
IRQ,0.0,0.0,0.0,80.0,0.0793
IRN,0.0,0.0,0.0,35.0,0.1585
AUT,0.0,0.0,15.0,35.0,0.5257999999999999
ALG,0.0,0.0,0.0,35.0,0.198
NZL,0.0,0.0,0.0,80.0,0.0793
MEX,0.0,5.0,5.0,5.0,0.9803
EGY,0.0,0.0,0.0,35.0,0.26380000000000003
HAI,0.0,0.0,0.0,60.0,0.0793
KOR,0.0,0.0,0.0,45.0,0.1761
RSA,0.0,0.0,0.0,65.0,0.0835
SUI,0.0,0.0,0.0,15.0,0.9803
CAN,0.0,0.0,0.0,30.0,0.5257999999999999
BIH,0.0,0.0,0.0,20.0,0.3163
QAT,0.0,0.0,0.0,65.0,0.0793
MAR,0.0,0.0,5.0,10.0,1.3017
SCO,0.0,0.0,5.0,45.0,0.3163
USA,0.0,0.0,0.0,30.0,1.3017
CZE,0.0,5.0,5.0,10.0,0.26380000000000003
TUR,0.0,5.0,10.0,35.0,0.9803
PAR,0.0,0.0,0.0,20.0,0.5257999999999999
AUS,0.0,0.0,0.0,60.0,0.1585
CIV,0.0,0.0,0.0,55.00000000000001,0.26380000000000003
CUW,0.0,0.0,0.0,85.0,0.0793
JPN,0.0,0.0,5.0,20.0,1.5569
SWE,0.0,0.0,0.0,15.0,0.9803
TUN,0.0,0.0,0.0,85.0,0.1585
PAN,0.0,0.0,0.0,60.0,0.0793
