country_code,logreg_champion_pct,xgboost_champion_pct,momios_pct,delta_logreg_minus_xgb
ENG,15.304,13.514,11.3433,1.790000000000001
ESP,14.976,22.79,14.437,-7.813999999999998
GER,13.164000000000001,3.53,6.1079,9.634000000000002
BRA,11.792,14.966,8.8226,-3.1739999999999995
FRA,9.916,14.804,13.233900000000002,-4.888
ARG,8.906,15.862000000000002,8.8226,-6.956000000000001
NED,4.582,3.5520000000000005,3.7811,1.0299999999999994
BEL,4.33,2.4219999999999997,2.3354,1.9080000000000004
POR,3.5740000000000003,4.316,7.940300000000001,-0.7419999999999995
URU,1.76,0.44,1.1851,1.32
CRO,1.506,0.724,0.9803,0.782
NOR,1.414,0.13,3.0540000000000003,1.2839999999999998
SUI,1.402,0.262,0.9803,1.14
MAR,1.26,0.926,1.3017,0.33399999999999996
USA,1.1119999999999999,0.338,1.3017,0.7739999999999998
JPN,0.9119999999999999,0.096,1.5569,0.816
MEX,0.65,0.172,0.9803,0.47800000000000004
AUT,0.5640000000000001,0.048,0.5257999999999999,0.516
COL,0.488,0.256,2.5614000000000003,0.23199999999999998
KOR,0.44799999999999995,0.104,0.1761,0.344
SEN,0.396,0.35,0.9803,0.04600000000000004
CIV,0.264,0.0279999999999999,0.2638,0.2360000000000001
TUR,0.234,0.076,0.9803,0.15800000000000003
ALG,0.232,0.01,0.198,0.222
ECU,0.148,0.068,1.3017,0.07999999999999999
EGY,0.12,0.022,0.2638,0.098
CAN,0.094,0.054,0.5257999999999999,0.04
SWE,0.086,0.024,0.9803,0.06199999999999999
CZE,0.06999999999999999,0.022,0.2638,0.047999999999999994
SCO,0.068,0.016,0.3163,0.052000000000000005
PAR,0.05,0.006,0.5257999999999999,0.044000000000000004
GHA,0.044000000000000004,0.012,0.198,0.032
AUS,0.04,0.006,0.1585,0.034
IRN,0.036000000000000004,0.032,0.1585,0.0040000000000000036
TUN,0.022000000000000002,0.0,0.1585,0.022000000000000002
BIH,0.012,0.004,0.3163,0.008
NZL,0.012,0.006,0.0793,0.006
UZB,0.006,0.0,0.0793,0.006
CUW,0.004,0.002,0.0793,0.002
KSA,0.002,0.004,0.0793,-0.002
COD,0.0,0.0,0.1057,0.0
RSA,0.0,0.0,0.0835,0.0
JOR,0.0,0.0,0.0793,0.0
CPV,0.0,0.0,0.0793,0.0
IRQ,0.0,0.002,0.0793,-0.002
QAT,0.0,0.0,0.0793,0.0
HAI,0.0,0.0,0.0793,0.0
PAN,0.0,0.004,0.0793,-0.004
