country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
ENG,13.847999999999999,22.314,36.326,4.018,11.343300000000001
ESP,13.838000000000001,24.234,35.949999999999996,3.612,14.437
BRA,12.36,20.404,33.918,3.83,8.8226
GER,12.054,19.918,32.596000000000004,4.02,6.1079
FRA,9.872,16.982,30.3,6.366,13.233900000000002
ARG,8.938,17.604,29.174,5.0200000000000005,8.8226
NED,5.167999999999999,9.658,18.892,8.886,3.7811
BEL,4.218,10.294,20.144000000000002,7.734000000000001,2.3354
POR,4.178,9.902,19.546,6.13,7.940300000000001
URU,1.982,5.422,13.178,11.774,1.1851
CRO,1.5559999999999998,4.636,11.384,16.922,0.9803
MAR,1.436,3.5020000000000002,8.764,14.402000000000001,1.3017
SUI,1.4080000000000001,4.279999999999999,11.262,7.838000000000001,0.9803
NOR,1.396,3.5700000000000003,9.452,19.106,3.0540000000000003
USA,1.204,3.9960000000000004,10.082,14.71,1.3017
JPN,1.028,2.786,7.342,22.302,1.5569
MEX,0.796,2.4219999999999997,7.122000000000001,16.174,0.9803
COL,0.718,2.3560000000000003,6.8180000000000005,14.219999999999999,2.5614000000000003
AUT,0.6459999999999999,2.212,6.414000000000001,22.652,0.5257999999999999
KOR,0.54,1.6740000000000002,5.266,20.526,0.1761
SEN,0.496,1.654,5.489999999999999,28.127999999999997,0.9803
TUR,0.402,1.6260000000000001,5.162,26.348,0.9803
ALG,0.332,1.08,3.746,31.644,0.198
CIV,0.328,1.2,4.114,27.439999999999998,0.26380000000000003
ECU,0.16999999999999998,0.7020000000000001,3.052,32.046,1.3017
EGY,0.16199999999999998,0.7979999999999999,3.108,33.742,0.26380000000000003
CZE,0.158,0.664,2.71,28.299999999999997,0.26380000000000003
SWE,0.12,0.516,2.054,42.582,0.9803
SCO,0.11399999999999999,0.424,1.8679999999999999,36.602000000000004,0.3163
CAN,0.11,0.606,2.39,24.392,0.5257999999999999
PAR,0.09,0.41000000000000003,1.81,42.718,0.5257999999999999
IRN,0.08,0.486,2.166,40.686,0.1585
GHA,0.07200000000000001,0.384,1.7579999999999998,44.532,0.198
AUS,0.054,0.388,1.5939999999999999,45.048,0.1585
TUN,0.04,0.194,0.84,58.57599999999999,0.1585
NZL,0.034,0.188,0.906,50.77199999999999,0.0793
BIH,0.026,0.128,0.8460000000000001,38.09,0.3163
UZB,0.013999999999999999,0.124,0.598,44.962,0.0793
KSA,0.004,0.027999999999999997,0.248,61.544,0.0793
COD,0.004,0.008,0.064,70.344,0.1057
QAT,0.002,0.024,0.2,60.870000000000005,0.0793
CUW,0.002,0.027999999999999997,0.24,71.09,0.0793
JOR,0.002,0.018000000000000002,0.14400000000000002,76.062,0.0793
RSA,0.0,0.052,0.294,63.652,0.0835
HAI,0.0,0.006,0.044000000000000004,79.31200000000001,0.0793
IRQ,0.0,0.01,0.08800000000000001,80.04400000000001,0.0793
CPV,0.0,0.048,0.268,59.906000000000006,0.0793
PAN,0.0,0.04,0.268,70.326,0.0793
