country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
ENG,18.360000000000003,27.976,42.606,3.2199999999999998,11.343300000000001
ESP,16.736,28.594,40.802,3.9759999999999995,14.437
BRA,12.83,21.407999999999998,36.356,3.5540000000000003,8.8226
GER,11.527999999999999,19.5,33.138,4.2139999999999995,6.1079
FRA,9.124,16.532,29.86,6.660000000000001,13.233900000000002
ARG,8.690000000000001,18.022,30.215999999999998,5.944,8.8226
NED,3.872,8.136000000000001,17.538,9.508,3.7811
BEL,3.5520000000000005,9.618,19.738,8.746,2.3354
POR,3.164,8.152,17.87,6.216,7.940300000000001
URU,1.73,5.26,13.266,13.274,1.1851
CRO,1.4000000000000001,4.496,11.296000000000001,18.831999999999997,0.9803
SUI,1.1820000000000002,3.936,11.0,8.824,0.9803
NOR,1.122,3.2079999999999997,8.776,21.684,3.0540000000000003
USA,0.8019999999999999,2.792,7.85,17.668,1.3017
MAR,0.8,2.366,7.258000000000001,16.954,1.3017
JPN,0.74,2.144,6.386,23.65,1.5569
MEX,0.622,1.978,6.296,17.214,0.9803
AUT,0.54,1.976,5.852,25.328,0.5257999999999999
COL,0.47800000000000004,1.8239999999999998,5.582,16.778000000000002,2.5614000000000003
KOR,0.45999999999999996,1.576,5.050000000000001,19.774,0.1761
SEN,0.396,1.346,4.426,32.838,0.9803
CIV,0.198,0.8420000000000001,3.174,31.038,0.26380000000000003
TUR,0.198,1.0,3.708,30.834,0.9803
IRN,0.164,0.768,2.852,39.366,0.1585
EGY,0.152,0.658,2.532,40.448,0.26380000000000003
AUS,0.14400000000000002,0.676,2.646,36.012,0.1585
ECU,0.134,0.666,2.52,36.684,1.3017
ALG,0.134,0.712,2.52,38.958,0.198
CZE,0.124,0.53,2.262,32.444,0.26380000000000003
CAN,0.094,0.514,2.1479999999999997,26.038,0.5257999999999999
SWE,0.086,0.384,1.69,46.698,0.9803
SCO,0.08,0.38,1.698,37.694,0.3163
PAR,0.078,0.336,1.702,43.718,0.5257999999999999
NZL,0.076,0.384,1.806,43.66,0.0793
TUN,0.062,0.256,1.162,52.824000000000005,0.1585
GHA,0.05,0.248,1.252,53.888000000000005,0.198
UZB,0.02,0.166,0.882,37.862,0.0793
BIH,0.018000000000000002,0.134,0.774,42.392,0.3163
RSA,0.012,0.038,0.44,59.864,0.0835
PAN,0.012,0.08800000000000001,0.612,61.938,0.0793
CPV,0.008,0.062,0.406,58.874,0.0793
KSA,0.008,0.074,0.418,59.809999999999995,0.0793
JOR,0.006,0.084,0.466,63.92,0.0793
CUW,0.006,0.082,0.466,62.242,0.0793
QAT,0.004,0.052,0.376,53.791999999999994,0.0793
IRQ,0.004,0.024,0.22399999999999998,72.626,0.0793
HAI,0.0,0.002,0.062,76.582,0.0793
COD,0.0,0.0,0.04,74.938,0.1057
