country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
ENG,18.938,29.652,45.946,2.308,11.343300000000001
ESP,17.704,31.298,43.726,1.978,14.437
BRA,12.540000000000001,20.806,36.748,2.568,8.8226
GER,12.278,20.494,34.768,2.784,6.1079
FRA,9.293999999999999,16.982,30.894,5.12,13.233900000000002
ARG,9.06,18.3,31.630000000000003,4.62,8.8226
BEL,3.6020000000000003,9.8,19.91,8.474,2.3354
NED,3.514,7.528,16.43,8.994,3.7811
POR,2.474,7.084,16.432,4.726,7.940300000000001
URU,1.558,4.78,12.803999999999998,12.636,1.1851
NOR,1.268,3.3840000000000003,9.09,18.37,3.0540000000000003
CRO,1.26,4.08,10.484,19.03,0.9803
SUI,1.16,4.066,11.39,8.104,0.9803
MAR,0.868,2.486,7.2459999999999996,14.732000000000001,1.3017
USA,0.69,2.62,7.672,18.07,1.3017
JPN,0.608,1.92,6.136,22.606,1.5569
AUT,0.468,1.78,5.732,25.363999999999997,0.5257999999999999
MEX,0.426,1.5699999999999998,5.466,16.846,0.9803
COL,0.35200000000000004,1.5699999999999998,5.442,13.794,2.5614000000000003
KOR,0.348,1.38,4.746,18.616,0.1761
SEN,0.296,1.118,3.818,32.292,0.9803
CIV,0.18,0.7060000000000001,2.988,31.884,0.26380000000000003
ALG,0.132,0.664,2.662,38.106,0.198
IRN,0.126,0.668,2.788,37.226,0.1585
EGY,0.11800000000000001,0.596,2.488,39.222,0.26380000000000003
AUS,0.108,0.54,2.386,35.077999999999996,0.1585
TUR,0.106,0.722,2.88,31.074,0.9803
ECU,0.08,0.43,2.156,36.802,1.3017
CZE,0.076,0.426,1.9300000000000002,32.16,0.26380000000000003
CAN,0.068,0.388,1.862,26.832,0.5257999999999999
PAR,0.052,0.35200000000000004,1.53,43.098,0.5257999999999999
TUN,0.05,0.232,1.026,52.744,0.1585
NZL,0.048,0.316,1.52,46.47,0.0793
SWE,0.042,0.28600000000000003,1.514,46.716,0.9803
GHA,0.024,0.192,0.914,54.726,0.198
SCO,0.022000000000000002,0.212,1.15,38.635999999999996,0.3163
BIH,0.016,0.108,0.606,42.53,0.3163
RSA,0.01,0.032,0.242,60.448,0.0835
PAN,0.008,0.104,0.47400000000000003,63.4,0.0793
QAT,0.006,0.044000000000000004,0.27799999999999997,53.598,0.0793
JOR,0.006,0.055999999999999994,0.298,66.62599999999999,0.0793
CUW,0.006,0.054,0.332,64.072,0.0793
UZB,0.004,0.086,0.694,37.66,0.0793
KSA,0.004,0.034,0.29,62.032,0.0793
IRQ,0.002,0.01,0.124,76.878,0.0793
HAI,0.0,0.01,0.048,78.752,0.0793
COD,0.0,0.002,0.013999999999999999,78.32000000000001,0.1057
CPV,0.0,0.032,0.296,62.878,0.0793
