country_code,v2_baseline,v2_drop_market,v2_calibrated,v2_drop_calibrated,momios_pct
ENG,15.304,18.938,13.847999999999999,18.360000000000003,11.3433
ESP,14.976,17.704,13.838000000000001,16.736,14.437
GER,13.164,12.278,12.054,11.527999999999999,6.1079
BRA,11.792,12.540000000000001,12.36,12.83,8.8226
FRA,9.916,9.293999999999999,9.872,9.124,13.233900000000002
ARG,8.906,9.06,8.938,8.690000000000001,8.8226
NED,4.582,3.514,5.167999999999999,3.872,3.7811
BEL,4.33,3.6020000000000003,4.218,3.5520000000000005,2.3354
POR,3.5740000000000003,2.474,4.178,3.164,7.940300000000001
URU,1.76,1.558,1.982,1.73,1.1851
CRO,1.506,1.26,1.5559999999999998,1.4000000000000001,0.9803
NOR,1.414,1.268,1.396,1.122,3.0540000000000003
SUI,1.402,1.16,1.4080000000000001,1.1820000000000002,0.9803
MAR,1.26,0.868,1.436,0.8,1.3017
USA,1.112,0.69,1.204,0.8019999999999999,1.3017
JPN,0.912,0.608,1.028,0.74,1.5569
MEX,0.65,0.426,0.796,0.622,0.9803
AUT,0.5640000000000001,0.468,0.6459999999999999,0.54,0.5257999999999999
COL,0.488,0.35200000000000004,0.718,0.47800000000000004,2.5614000000000003
KOR,0.4479999999999999,0.348,0.54,0.45999999999999996,0.1761
SEN,0.396,0.296,0.496,0.396,0.9803
CIV,0.264,0.18,0.328,0.198,0.2638
TUR,0.234,0.106,0.402,0.198,0.9803
ALG,0.232,0.132,0.332,0.134,0.198
ECU,0.148,0.08,0.16999999999999998,0.134,1.3017
EGY,0.12,0.11800000000000001,0.16199999999999998,0.152,0.2638
CAN,0.094,0.068,0.11,0.094,0.5257999999999999
SWE,0.086,0.042,0.12,0.086,0.9803
CZE,0.0699999999999999,0.076,0.158,0.124,0.2638
SCO,0.068,0.022000000000000002,0.11399999999999999,0.08,0.3163
PAR,0.05,0.052,0.09,0.078,0.5257999999999999
GHA,0.044,0.024,0.07200000000000001,0.05,0.198
AUS,0.04,0.108,0.054,0.14400000000000002,0.1585
IRN,0.036,0.126,0.08,0.164,0.1585
TUN,0.022,0.05,0.04,0.062,0.1585
BIH,0.012,0.016,0.026,0.018000000000000002,0.3163
NZL,0.012,0.048,0.034,0.076,0.0793
UZB,0.006,0.004,0.013999999999999999,0.02,0.0793
CUW,0.004,0.006,0.002,0.006,0.0793
KSA,0.002,0.004,0.004,0.008,0.0793
RSA,0.0,0.01,0.0,0.012,0.0835
QAT,0.0,0.006,0.002,0.004,0.0793
PAN,0.0,0.008,0.0,0.012,0.0793
JOR,0.0,0.006,0.002,0.006,0.0793
HAI,0.0,0.0,0.0,0.0,0.0793
CPV,0.0,0.0,0.0,0.008,0.0793
COD,0.0,0.0,0.004,0.0,0.1057
IRQ,0.0,0.002,0.0,0.004,0.0793
