country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct
ENG,15.304,24.62,40.104,2.674,11.343300000000001
ESP,14.976,26.613999999999997,38.766,1.886,14.437
GER,13.164000000000001,21.288,34.58,2.828,6.1079
BRA,11.792,19.855999999999998,33.808,2.788,8.8226
FRA,9.916,17.372,31.979999999999997,4.44,13.233900000000002
ARG,8.906,17.532,29.746,3.836,8.8226
NED,4.582,9.098,17.886,8.324,3.7811
BEL,4.33,10.924,21.488,5.976,2.3354
POR,3.5740000000000003,8.828,18.37,3.9440000000000004,7.940300000000001
URU,1.76,5.2459999999999996,13.154,9.206,1.1851
CRO,1.506,4.492,11.448,15.559999999999999,0.9803
NOR,1.414,3.862,9.894,15.976,3.0540000000000003
SUI,1.402,4.236,11.536,6.946,0.9803
MAR,1.26,3.238,8.786,12.128,1.3017
USA,1.1119999999999999,3.834,10.056,14.194,1.3017
JPN,0.9119999999999999,2.5780000000000003,7.204000000000001,20.338,1.5569
MEX,0.65,1.924,6.196,14.398,0.9803
AUT,0.5640000000000001,2.098,6.36,20.282,0.5257999999999999
COL,0.488,1.942,5.92,12.803999999999998,2.5614000000000003
KOR,0.44799999999999995,1.514,4.976,17.52,0.1761
SEN,0.396,1.41,4.688,26.214,0.9803
CIV,0.264,0.9440000000000001,3.9919999999999995,26.072,0.26380000000000003
TUR,0.234,1.094,4.0280000000000005,26.717999999999996,0.9803
ALG,0.232,0.91,3.2800000000000002,30.002000000000002,0.198
ECU,0.148,0.634,2.566,32.897999999999996,1.3017
EGY,0.12,0.634,2.93,32.501999999999995,0.26380000000000003
CAN,0.094,0.538,2.228,22.486,0.5257999999999999
SWE,0.086,0.376,1.672,44.748,0.9803
CZE,0.06999999999999999,0.438,2.048,28.912,0.26380000000000003
SCO,0.068,0.31,1.492,35.508,0.3163
PAR,0.05,0.312,1.414,43.166,0.5257999999999999
GHA,0.044000000000000004,0.32,1.4460000000000002,45.128,0.198
AUS,0.04,0.24,1.3299999999999998,44.354,0.1585
IRN,0.036000000000000004,0.31,1.58,39.64,0.1585
TUN,0.022000000000000002,0.134,0.6819999999999999,58.160000000000004,0.1585
NZL,0.012,0.086,0.632,54.974000000000004,0.0793
BIH,0.012,0.062,0.526,39.522,0.3163
UZB,0.006,0.046,0.356,44.704,0.0793
CUW,0.004,0.018000000000000002,0.126,73.226,0.0793
KSA,0.002,0.018000000000000002,0.116,65.774,0.0793
COD,0.0,0.002,0.022000000000000002,74.78399999999999,0.1057
RSA,0.0,0.01,0.086,67.608,0.0835
JOR,0.0,0.01,0.08,78.60000000000001,0.0793
CPV,0.0,0.012,0.128,63.794,0.0793
IRQ,0.0,0.006,0.024,84.844,0.0793
QAT,0.0,0.008,0.082,62.89,0.0793
HAI,0.0,0.0,0.013999999999999999,82.992,0.0793
PAN,0.0,0.022000000000000002,0.174,73.732,0.0793
