feature,gain,split
delta_wc_games_played,1769.164967060089,180
delta_ranking,1295.0536632537842,162
delta_wc_gf_per_game,932.6618603467941,240
delta_wc_gc_per_game,757.5319021940231,195
opp_ranking,732.85578083992,148
opp_wc_gf_per_game,697.1479804515839,174
team_wc_gf_per_game,670.6287894248962,178
team_ranking,659.9497575759888,119
team_wc_draw_pct,625.4732924699783,167
opp_wc_gc_per_game,603.6478387117386,177
team_wc_gc_per_game,594.3991295099258,173
opp_wc_draw_pct,565.4384305477142,143
delta_wc_draw_pct,523.4351707696915,149
delta_wc_win_pct,513.6387495994568,115
opp_wc_win_pct,383.8331801891327,115
opp_wc_games_played,381.3705804347992,104
team_wc_games_played,379.81538009643555,109
delta_wc_semi_pct,370.65581130981445,92
team_wc_win_pct,336.83765149116516,99
delta_wc_appearances,315.0472192764282,56
opp_euro_win_pct,282.068279504776,90
delta_win_pct_vs_top10,271.9747306108475,72
team_squad_avg_age,269.2136093378067,69
delta_ranking_volatility,259.0527900457382,73
team_euro_win_pct,255.0412094593048,76
opp_wc_appearances,222.48249864578247,53
opp_win_pct_vs_top10,212.20978140830994,60
team_ranking_volatility,206.94983983039856,65
team_wc_appearances,187.95468044281006,55
opp_squad_avg_age,163.4264199733734,44
opp_ranking_volatility,159.4611096382141,45
team_win_pct_vs_top10,156.56687998771667,42
delta_squad_avg_age,154.6978199481964,47
delta_euro_win_pct,152.872190117836,41
team_wc_semi_pct,151.2279200553894,44
delta_wc_final_pct,147.12398028373718,42
team_host_flag,136.0693086385727,28
opp_wc_semi_pct,111.04258918762207,37
opp_market_value_eur_m,110.42479002475739,34
team_market_value_eur_m,102.88445997238159,30
opp_host_flag,96.1487900018692,26
delta_host_flag,95.37182998657227,19
team_wc_final_pct,93.10107958316803,24
is_knockout,92.26160931587219,26
team_afcon_win_pct,81.61463010311127,24
opp_wc_final_pct,74.8333489894867,23
delta_market_value_eur_m,54.646780371665955,15
opp_copa_win_pct,21.293669939041138,6
delta_wc_champion_count,20.05977988243103,7
opp_afcon_win_pct,19.055449724197388,7
team_copa_win_pct,15.89635968208313,5
delta_copa_win_pct,15.14382028579712,5
team_wc_champion_count,14.418619990348816,5
opp_wc_champion_count,10.815990209579468,5
team_has_ranking,4.642449855804443,1
delta_has_ranking,0.0,0
opp_has_ranking,0.0,0
delta_afcon_win_pct,0.0,0
