country_code,confederation,status,ranking_2026,ranking_volatility,wc_win_pct,wc_gc_per_game,qual_gf_per_game,qual_gc_per_game,qual_points_per_game,market_value_eur_m,squad_avg_age,win_pct_vs_top10,host_flag,confederation_strength_index,wc_champion,wc_quarter_pct,wc_semi_pct,wc_final_pct,afcon_win_pct,copa_win_pct,euro_win_pct
ALG,CAF,confirmed,28.0,4.919349550499537,0.231,1.462,2.4,0.8,2.5,229.3,26.5,0.0,0,0.0201612903225806,0,0.0,0.0,0.0,0.36619718309859156,0.0,0.0
ARG,CONMEBOL,confirmed,2.0,0.5477225575051661,0.534,1.148,1.722,0.556,2.111111111111111,575.0,28.0,0.1904761904761904,0,0.03954802259887,1,0.444,0.278,0.333,0.0,0.6666666666666666,0.0
AUS,AFC,confirmed,27.0,0.8366600265340756,0.2,1.85,2.375,0.438,2.3125,32.85,27.7,0.0,0,0.0237467018469656,0,0.0,0.0,0.0,0.4634724233249967,0.0,0.0
AUT,UEFA,confirmed,24.0,4.774934554525329,0.414,1.621,2.75,0.5,2.375,231.9,28.1,0.2,0,0.0286591606960081,0,0.286,0.286,0.0,0.0,0.0,0.2857142857142857
BEL,UEFA,confirmed,9.0,2.4083189157584592,0.412,1.451,3.625,0.875,2.25,442.2,27.2,0.3863636363636363,0,0.0286591606960081,0,0.214,0.143,0.0,0.0,0.0,0.46153846153846156
BIH,UEFA,playoff,71.0,6.618156843109718,0.333,1.333,2.125,0.875,2.125,92.1,26.8,0.0,0,0.0286591606960081,0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,CONMEBOL,confirmed,5.0,1.7888543819998322,0.667,0.947,1.333,0.944,1.5555555555555556,932.0,27.9,0.3559322033898305,0,0.03954802259887,1,0.636,0.364,0.273,0.0,0.5238095238095238,0.0
CAN,CONCACAF,confirmed,29.0,11.991663771137013,0.0,2.0,2.167,0.5,2.0,21.88,24.7,0.0,1,0.0177777777777777,0,0.0,0.0,0.0,0.4634724233249967,0.0,0.0
CGO,CAF,playoff,134.0,15.42076522096099,0.0,1.4975,2.2,0.4499999999999999,2.5,31.83,25.9,0.0416666666666666,0,0.0201612903225806,0,0.0,0.0,0.0,0.21739130434782608,0.0,0.0
CIV,CAF,confirmed,37.0,4.764451699828638,0.333,1.556,2.5,0.0,2.6,370.8,26.7,0.0,0,0.0201612903225806,0,0.0,0.0,0.0,0.4157303370786517,0.0,0.0
COL,CONMEBOL,confirmed,14.0,1.8708286933869709,0.409,1.364,1.556,1.0,1.5555555555555556,285.1,29.4,0.3870967741935484,0,0.03954802259887,0,0.167,0.0,0.0,0.0,0.5227272727272727,0.0
CPV,CAF,confirmed,67.0,2.949576240750525,0.0,1.4975,1.6,0.8,2.3,31.83,29.3,0.0416666666666666,0,0.0201612903225806,0,0.0,0.0,0.0,0.2,0.0,0.0
CRO,UEFA,confirmed,11.0,2.16794833886788,0.433,1.1,3.25,0.5,2.75,258.5,28.6,0.1428571428571428,0,0.0286591606960081,0,0.5,0.5,0.167,0.0,0.0,0.36
CUW,CONCACAF,confirmed,81.0,4.527692569068709,0.0,2.5,2.167,0.5,2.0,5.3,24.7,0.0,0,0.0177777777777777,0,0.0,0.0,0.0,0.35543478260869565,0.0,0.0
CZE,UEFA,playoff,43.0,2.588435821108957,0.364,1.485,2.25,1.0,2.0,115.9,27.0,0.1,0,0.0286591606960081,0,0.444,0.222,0.222,0.0,0.0,0.375
ECU,CONMEBOL,confirmed,23.0,7.893034904268447,0.385,1.077,0.778,0.278,1.6111111111111112,349.58,25.3,0.0,0,0.03954802259887,0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
EGY,CAF,confirmed,31.0,3.0331501776206204,0.0,1.714,2.0,0.2,2.6,138.5,29.1,0.0,0,0.0201612903225806,0,0.0,0.0,0.0,0.5607476635514018,0.0,0.0
ENG,UEFA,confirmed,4.0,0.7071067811865476,0.432,0.919,2.75,0.0,3.0,1300.0,26.9,0.1224489795918367,0,0.0286591606960081,1,0.625,0.188,0.062,0.0,0.0,0.35555555555555557
ESP,UEFA,confirmed,1.0,4.159326868617084,0.463,1.119,3.5,0.333,2.6666666666666665,1150.0,27.3,0.44,0,0.0286591606960081,1,0.312,0.062,0.062,0.0,0.0,0.4716981132075472
FRA,UEFA,confirmed,3.0,0.5477225575051661,0.534,1.164,2.667,0.667,2.6666666666666665,1290.0,26.8,0.425,0,0.0286591606960081,1,0.5,0.438,0.25,0.0,0.0,0.40816326530612246
GER,UEFA,confirmed,10.0,3.03315017762062,0.607,1.161,2.667,0.5,2.5,828.0,26.7,0.4933333333333333,0,0.0286591606960081,1,0.7,0.6,0.4,0.0,0.0,0.46511627906976744
GHA,CAF,confirmed,72.0,8.093207028119323,0.333,1.533,2.3,0.6,2.5,254.85,25.9,0.0833333333333333,0,0.0201612903225806,0,0.25,0.0,0.0,0.5108695652173914,0.0,0.0
HAI,CONCACAF,confirmed,83.0,2.3874672772626644,0.0,4.667,1.5,1.0,1.8333333333333333,5.3,24.7,0.0,0,0.0177777777777777,0,0.0,0.0,0.0,0.35543478260869565,0.0,0.0
IRN,AFC,confirmed,20.0,2.1908902300206647,0.167,1.722,2.188,0.75,2.3125,34.25,29.3,0.0,0,0.0237467018469656,0,0.0,0.0,0.0,0.3962133456476564,0.0,0.0
