country_code,champion_pct,final_pct,semifinal_pct,quarterfinal_pct,champion_count,n_sims,momios_pct
ESP,22.72,31.78,45.97,57.02,2272,10000,14.437
ARG,17.42,29.08,42.05,53.14,1742,10000,8.8226
FRA,16.27,25.93,41.72,54.74,1627,10000,13.233900000000002
ENG,10.52,19.73,33.84,49.13,1052,10000,11.343300000000001
BRA,7.7,16.85,31.06,51.03,770,10000,8.8226
POR,5.32,12.34,23.77,46.45,532,10000,7.940300000000001
NED,3.85,9.55,20.33,39.45,385,10000,3.7811
USA,2.24,6.55,16.22,40.8,224,10000,1.3017
MAR,2.15,6.52,16.23,35.74,215,10000,1.3017
GER,1.9,6.32,15.07,31.22,190,10000,6.1079
BEL,1.69,5.23,13.86,35.91,169,10000,2.3354
CRO,1.41,4.62,11.64,24.21,141,10000,0.9803
CAN,1.29,3.85,11.59,29.09,129,10000,0.5257999999999999
MEX,1.25,3.92,10.98,28.66,125,10000,0.9803
SEN,0.92,3.12,8.6,19.91,92,10000,0.9803
SUI,0.46,1.9,6.7,21.05,46,10000,0.9803
KOR,0.39,1.34,4.0,14.72,39,10000,0.1761
TUR,0.36,1.48,5.65,17.15,36,10000,0.9803
IRN,0.29,1.27,4.91,15.25,29,10000,0.1585
URU,0.28,0.99,4.44,11.48,28,10000,1.1851
AUS,0.2,0.89,3.65,12.87,20,10000,0.1585
COL,0.2,0.93,3.12,8.98,20,10000,2.5614000000000003
ECU,0.17,1.12,3.89,13.75,17,10000,1.3017
PAN,0.12,0.44,1.55,4.48,12,10000,0.0793
JPN,0.12,0.63,2.44,9.86,12,10000,1.5569
AUT,0.11,0.59,2.55,7.59,11,10000,0.5257999999999999
EGY,0.1,0.44,1.69,6.94,10,10000,0.26380000000000003
CIV,0.07,0.26,1.23,5.0,7,10000,0.26380000000000003
QAT,0.06,0.22,1.02,4.53,6,10000,0.0793
CZE,0.06,0.21,1.2,6.53,6,10000,0.26380000000000003
CUW,0.05,0.23,0.73,3.15,5,10000,0.0793
NOR,0.04,0.26,0.98,4.62,4,10000,3.0540000000000003
SCO,0.04,0.28,1.1,4.77,4,10000,0.3163
ALG,0.04,0.19,1.05,4.08,4,10000,0.198
TUN,0.03,0.1,0.33,1.72,3,10000,0.1585
HAI,0.03,0.1,0.33,1.75,3,10000,0.0793
KSA,0.03,0.09,0.45,2.26,3,10000,0.0793
CPV,0.02,0.03,0.27,1.14,2,10000,0.0793
CGO,0.02,0.04,0.14,0.97,2,10000,
BIH,0.02,0.12,0.47,2.53,2,10000,0.3163
NZL,0.02,0.06,0.38,2.06,2,10000,0.0793
SWE,0.01,0.17,0.88,4.32,1,10000,0.9803
UZB,0.01,0.06,0.54,2.47,1,10000,0.0793
IRQ,0.0,0.02,0.18,0.75,0,10000,0.0793
GHA,0.0,0.02,0.16,0.92,0,10000,0.198
PAR,0.0,0.04,0.32,2.2,0,10000,0.5257999999999999
JOR,0.0,0.03,0.31,1.07,0,10000,0.0793
RSA,0.0,0.06,0.41,2.54,0,10000,0.0835
