feature,importance
delta_wc_games_played,0.06329359740860832
delta_wc_gf_per_game,0.046789034481150564
delta_wc_win_pct,0.04486960487620394
opp_wc_gf_per_game,0.0407348004073341
team_wc_gf_per_game,0.040154221029967074
delta_wc_appearances,0.037734812311243204
delta_ranking,0.03698895988398499
delta_wc_gc_per_game,0.03330352430788947
opp_wc_games_played,0.03308943517478549
team_wc_gc_per_game,0.03242986135591638
team_wc_games_played,0.03234317746705577
team_wc_draw_pct,0.031496472163528015
opp_wc_gc_per_game,0.030303751655951786
delta_wc_draw_pct,0.030243557748726793
team_wc_win_pct,0.03015064082762656
opp_wc_win_pct,0.02990407130037923
opp_wc_draw_pct,0.0289390471088401
delta_wc_semi_pct,0.025515043975865775
team_wc_appearances,0.0221913403028344
opp_wc_appearances,0.0211931563585029
opp_ranking,0.020826475245345078
team_ranking,0.019798575017433165
delta_wc_final_pct,0.01910535267640012
team_euro_win_pct,0.013496325166682761
opp_wc_semi_pct,0.01332446393917034
opp_euro_win_pct,0.01295671212742283
team_wc_semi_pct,0.012703029027792023
delta_win_pct_vs_top10,0.012314072657266943
opp_ranking_volatility,0.01112785694720681
team_ranking_volatility,0.010750570755082754
delta_ranking_volatility,0.010745237249403506
team_wc_final_pct,0.010502675647034767
opp_wc_final_pct,0.010342984948664796
delta_wc_champion_count,0.010313132359392584
team_market_value_eur_m,0.009951465375164966
opp_market_value_eur_m,0.009744960966198866
opp_win_pct_vs_top10,0.00869506444858666
team_squad_avg_age,0.008568526057185232
team_win_pct_vs_top10,0.008415857060390757
opp_squad_avg_age,0.00837487228690166
delta_squad_avg_age,0.007693720661184725
delta_market_value_eur_m,0.00715974629598928
is_knockout,0.006223534122903324
opp_wc_champion_count,0.005444585383240255
delta_host_flag,0.005315473379903454
team_wc_champion_count,0.004966949933121295
team_host_flag,0.004199695038197592
opp_host_flag,0.00377510006388114
delta_euro_win_pct,0.003766209219519796
team_afcon_win_pct,0.0030845779828439384
team_has_ranking,0.0029189377993674255
team_copa_win_pct,0.002557434783629521
opp_copa_win_pct,0.0024066720522878536
opp_afcon_win_pct,0.002371475007829858
opp_has_ranking,0.002315079647445817
delta_has_ranking,0.0019817100835881046
delta_copa_win_pct,9.277843994506912e-05
delta_afcon_win_pct,0.0
